[12-Oct-2023 02:46:05 UTC] PHP Parse error:  syntax error, unexpected '*' in /Applications/MAMP/htdocs/ad5_lesson/index.php on line 27
[12-Oct-2023 02:46:07 UTC] PHP Parse error:  syntax error, unexpected '*' in /Applications/MAMP/htdocs/ad5_lesson/index.php on line 27
[12-Oct-2023 02:46:07 UTC] PHP Parse error:  syntax error, unexpected '*' in /Applications/MAMP/htdocs/ad5_lesson/index.php on line 27
[12-Oct-2023 02:46:07 UTC] PHP Parse error:  syntax error, unexpected '*' in /Applications/MAMP/htdocs/ad5_lesson/index.php on line 27
[12-Oct-2023 04:46:27 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:46:30 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:46:31 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:32 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:34 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:35 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:36 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:36 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:36 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:36 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:36 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:37 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[12-Oct-2023 04:49:37 UTC] PHP Parse error:  syntax error, unexpected ',' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 18
[13-Oct-2023 07:12:14 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 96
[13-Oct-2023 07:12:16 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 96
[13-Oct-2023 07:12:17 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 96
[13-Oct-2023 07:12:17 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 96
[13-Oct-2023 07:12:17 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 96
